24 [0.0 0.0 1.0 1.0 1.0 2.0 153.0 6.0 1.5 0.0 5.0 5.0 14.0 75.0 153.0 -99.0 10.0 5.0 0.0 -1.0 0.0 -1.0 -1.0 -1.0 -1.0 -1.0 -9.0 -9.0 0.0 -9.0,201507100101 201610250005+0
25 [0.10714285714285714 0.9642857142857143 0.9642857142857143 1.0 0.07142857142857142 -0.75 93.64285714285714 7.678571428571429 2.9285714285714284 0.0 5.107142857142857 4.071428571428571 14.035714285714286 75.96428571428571 93.64285714285714 -99.0 10.0 1.3214285714285714 0.21428571428571427 -0.14285714285714285 0.21428571428571427 -0.07142857142857142 -0.7857142857142857 -1.0 0.0 -0.42857142857142855 0.14285714285714285 0.5714285714285714 0.0 0.5714285714285714,201501010080 201612070012 201510070086 201507270012 201508230028 201512180019 201502130043 201611160021 201506150049 201603310021 201601310037 201502250006 201505030065 201602240062 201609170033 201606210032 201512270059 201601150048 201509180037 201609130021 201610070014 201610240017 201602150062 201507010071 201606230040 201507200043 201610150002 201506140020+0
26 [0.0 0.6666666666666666 1.0 0.8333333333333334 0.5 0.3333333333333333 603.0 8.0 4.5 0.0 8.333333333333334 20.0 2.5 20.5 224.5 1.6666666666666667 10.0 0.0 0.3333333333333333 0.3333333333333333 0.0 -1.0 -1.0 -1.0 -1.0 -1.0 -4.5 -4.5 1.0 1.0,201608030027 201606270033 201510090027 201505060086 201607200039 201505010012+29
27 [1.0 0.9629629629629629 1.0 1.0 0.037037037037037035 -0.8888888888888888 111.5925925925926 9.851851851851851 6.0 0.0 13.0 27.0 13.851851851851851 66.81481481481481 115.03703703703704 -99.0 10.0 0.0 0.14814814814814814 -0.37037037037037035 1.0 3.5185185185185186 0.0 -1.0 7.0 -99.0 -1.5925925925925926 -1.5555555555555556 0.07407407407407407 -1.1851851851851851,201604120028 201603070019 201602170007 201506070088 201604140006 201511030029 201605100015 201603310042 201602010043 201611090056 201611090055 201609160035 201611130076 201603070023 201603060018 201611240058 201603070056 201602290016 201510060026 201603130084 201603160017 201511050012 201509230013 201506040063 201503090028 201602020024 201603060017+0
28 [0.0 1.0 1.0 1.0 0.0 -1.0 228.0 10.0 3.0 0.0 6.0 11.0 14.0 75.16666666666667 228.0 -99.0 10.0 0.0 -9.0 -1.0 0.0 -1.0 -1.0 -1.0 -1.0 -1.0 0.0 0.0 0.0 0.0,201601310011 201601310010 201601310012 201507110010 201601060028 201601190019 201601190018 201601050072 201512010051 201512160049 201504180042 201507260029 201607270010 201607270011 201603100005 201604100023 201610050054 201610050055 201610190040 201505110120 201505130037 201605020022 201504300042 201511260034 201607270009 201505100066 201506150143 201610200025 201511020056 201605010043 201605010042 201605010047 201605010046 201605010045 201605010044 201504050058 201606260048 201507270053 201507270052 201509090040 201507270054 201601310008 201601310009 201509040032 201509040033 201611200054 201611200055 201506260016 201506030059 201505120116 201605020023 201605020020 201605020021 201504210076 201508030102 201509090037 201509090036 201509090039 201509090038 201606050053+0
29 [0.0 0.8571428571428571 1.0 1.0 0.14285714285714285 -0.5714285714285714 155.28571428571428 5.357142857142857 1.2857142857142858 0.0 5.0 5.0 10.0 54.07142857142857 155.28571428571428 -99.0 10.0 0.6428571428571429 0.5 1.0 0.0 -1.0 -1.0 -1.0 -1.0 -1.0 -9.0 -9.0 0.0 -9.0,201504170088 201511220002 201611200068 201511270020 201509200098 201506280009 201506250018 201607140040 201510310061 201601170045 201509080037 201509080038 201609080052 201509010066+0
30 [0.0 1.0 1.0 0.8888888888888888 0.1111111111111111 -0.7777777777777778 229.0 11.0 2.0 0.0 5.0 4.666666666666667 4.0 34.0 229.0 -99.0 10.0 2.5555555555555554 0.3333333333333333 0.4444444444444444 0.0 -1.0 -1.0 -1.0 -1.0 -1.0 0.0 1.0 0.1111111111111111 1.0,201507100094 201607300029 201508160048 201608080096 201510120008 201510120009 201510120003 201510120007 201510120005+0
31 [0.0 0.9 1.0 1.0 0.1 -0.7 160.0 5.0 3.0 0.0 6.0 15.4 21.0 107.0 160.0 -99.0 10.0 0.0 0.9 3.3 0.0 -1.0 -1.0 -1.0 -1.0 -1.0 -9.0 -9.0 0.0 -9.0,201510290063 201604190041 201604190042 201501270013 201601180008 201511060034 201602180015 201609030026 201510290015 201602180016+0
32 [0.0 0.9090909090909091 1.0 1.0 0.09090909090909091 -0.7272727272727273 215.63636363636363 6.181818181818182 3.0 0.0 7.0 13.363636363636363 2.3636363636363638 18.272727272727273 215.63636363636363 1.9090909090909092 10.0 2.3636363636363638 -0.45454545454545453 0.45454545454545453 0.0 -1.0 -1.0 -1.0 -1.0 -1.0 -9.0 -9.0 0.0 -9.0,201603240046 201611240040 201607090022 201603230021 201608080068 201512020012 201510290074 201603310019 201511240032 201607080009 201609170004+0
33 [0.0 1.0 1.0 1.0 0.0 -1.0 95.07142857142857 10.0 3.0 0.0 6.0 11.0 14.0 75.28571428571429 95.07142857142857 -99.0 10.0 1.2857142857142858 -9.0 -1.0 0.0 -1.0 -1.0 -1.0 -1.0 -1.0 -9.0 -9.0 0.0 -9.0,201605030017 201608060046 201502160015 201608310008 201502250015 201504020058 201512170016 201512170017 201607110005 201511290007 201501280034 201512170015 201503060009 201503060008 201510090010 201604110015 201510090011 201503010124 201604280015 201602100005 201505300013 201510090007 201512190013 201503050007 201510090008 201510090009 201503230028 201611210029+0
